mfld loss = 0.5995983481407166, ntk loss = 0.7675511240959167
mfld loss = 0.4710538387298584, ntk loss = 0.7778315544128418
mfld loss = 0.5859861373901367, ntk loss = 0.8471300601959229
mfld loss = 0.4704448878765106, ntk loss = 0.7500251531600952
mfld loss = 0.3971017301082611, ntk loss = 0.6820136308670044
mfld loss = 0.6912781596183777, ntk loss = 0.9114789962768555
mfld loss = 0.6285123825073242, ntk loss = 0.8182973265647888
mfld loss = 0.5872310996055603, ntk loss = 0.8313409090042114
mfld loss = 0.5539692640304565, ntk loss = 0.8429369926452637
mfld loss = 0.37962180376052856, ntk loss = 0.7944045066833496
mfld loss = 0.5578365921974182, ntk loss = 0.8715622425079346
mfld loss = 0.4748939275741577, ntk loss = 0.822670042514801
mfld loss = 0.4705187976360321, ntk loss = 0.923903226852417
mfld loss = 0.41225486993789673, ntk loss = 0.7706766128540039
mfld loss = 0.4904347062110901, ntk loss = 0.8240935802459717
mfld loss = 0.4186442196369171, ntk loss = 0.8813556432723999
mfld loss = 0.48087137937545776, ntk loss = 0.911861002445221
mfld loss = 0.48671144247055054, ntk loss = 0.9771437048912048
mfld loss = 0.4860130846500397, ntk loss = 0.8933784365653992
mfld loss = 0.485492467880249, ntk loss = 0.8624856472015381
mfld loss = 0.6011544466018677, ntk loss = 0.9022910594940186
mfld loss = 0.6248863935470581, ntk loss = 1.0457266569137573
mfld loss = 0.47922125458717346, ntk loss = 1.0218374729156494
mfld loss = 0.3472103178501129, ntk loss = 0.894569993019104
mfld loss = 0.49135589599609375, ntk loss = 0.980955958366394
mfld loss = 0.5451542735099792, ntk loss = 0.8168330192565918
mfld loss = 0.4964393973350525, ntk loss = 0.9752930402755737
mfld loss = 0.48720866441726685, ntk loss = 0.9472461342811584
mfld loss = 0.6205798387527466, ntk loss = 0.9497330784797668
mfld loss = 0.48409155011177063, ntk loss = 1.0122475624084473
mfld loss = 0.5738130211830139, ntk loss = 0.9505635499954224
mfld loss = 0.6715759038925171, ntk loss = 0.9879668951034546
mfld loss = 0.4884931147098541, ntk loss = 0.8895940780639648
mfld loss = 0.43323951959609985, ntk loss = 0.8656270503997803
mfld loss = 0.5023183822631836, ntk loss = 0.8619187474250793
mfld loss = 0.5759720206260681, ntk loss = 1.0377205610275269
mfld loss = 0.653286337852478, ntk loss = 0.9015571475028992
mfld loss = 0.6439089179039001, ntk loss = 1.0230683088302612
