mfld loss = 0.8465810418128967, ntk loss = 0.9869982600212097
mfld loss = 0.826973557472229, ntk loss = 0.9842066764831543
mfld loss = 0.8929644823074341, ntk loss = 0.9941845536231995
mfld loss = 0.8370108604431152, ntk loss = 0.985858678817749
mfld loss = 0.8290185332298279, ntk loss = 0.9877951741218567
mfld loss = 0.8743563890457153, ntk loss = 0.9879701733589172
mfld loss = 0.8703457713127136, ntk loss = 0.9910317063331604
mfld loss = 0.852410078048706, ntk loss = 0.9863166809082031
mfld loss = 0.8320324420928955, ntk loss = 0.9868213534355164
mfld loss = 0.8446372151374817, ntk loss = 0.9858494400978088
mfld loss = 0.8547086715698242, ntk loss = 0.9866527318954468
mfld loss = 0.8212652206420898, ntk loss = 0.9834623336791992
mfld loss = 0.8359576463699341, ntk loss = 0.9865861535072327
mfld loss = 0.8121485710144043, ntk loss = 0.9859025478363037
mfld loss = 0.8134800791740417, ntk loss = 0.9860402941703796
mfld loss = 0.8543524742126465, ntk loss = 0.9859744310379028
mfld loss = 0.8142671585083008, ntk loss = 0.9874850511550903
mfld loss = 0.808818519115448, ntk loss = 0.9857902526855469
mfld loss = 0.8371830582618713, ntk loss = 0.9851742386817932
mfld loss = 0.8187016248703003, ntk loss = 0.983824610710144
mfld loss = 0.8122187852859497, ntk loss = 0.9878718852996826
mfld loss = 0.7820308804512024, ntk loss = 0.9859532117843628
mfld loss = 0.8565870523452759, ntk loss = 0.9912276268005371
mfld loss = 0.7953734993934631, ntk loss = 0.9870278835296631
mfld loss = 0.8366885781288147, ntk loss = 0.9867805242538452
mfld loss = 0.8092124462127686, ntk loss = 0.9826502799987793
mfld loss = 0.8141145706176758, ntk loss = 0.9844504594802856
mfld loss = 0.8366670608520508, ntk loss = 0.9888023138046265
mfld loss = 0.79296875, ntk loss = 0.9814871549606323
mfld loss = 0.757992684841156, ntk loss = 0.9843716025352478
mfld loss = 0.8027383089065552, ntk loss = 0.984376072883606
mfld loss = 0.7653628587722778, ntk loss = 0.9822039008140564
mfld loss = 0.7754794955253601, ntk loss = 0.9808732271194458
mfld loss = 0.8035939335823059, ntk loss = 0.9863050580024719
mfld loss = 0.784239649772644, ntk loss = 0.9843202233314514
mfld loss = 0.7999860048294067, ntk loss = 0.9902453422546387
mfld loss = 0.8122372031211853, ntk loss = 0.9869339466094971
mfld loss = 0.8330654501914978, ntk loss = 0.9890178442001343
mfld loss = 0.781194269657135, ntk loss = 0.9837321043014526
mfld loss = 0.8045752048492432, ntk loss = 0.9853124618530273
mfld loss = 0.8167423605918884, ntk loss = 0.9885481595993042
mfld loss = 0.7382557988166809, ntk loss = 0.982966959476471
mfld loss = 0.8335094451904297, ntk loss = 0.9903324842453003
mfld loss = 0.7278996706008911, ntk loss = 0.9823958873748779
mfld loss = 0.7617831230163574, ntk loss = 0.9837600588798523
mfld loss = 0.7803425192832947, ntk loss = 0.9863864183425903
mfld loss = 0.7575333118438721, ntk loss = 0.9835105538368225
mfld loss = 0.7228317260742188, ntk loss = 0.9812819361686707
mfld loss = 0.7719444632530212, ntk loss = 0.984076201915741
mfld loss = 0.8189694285392761, ntk loss = 0.9871195554733276
mfld loss = 0.7939068675041199, ntk loss = 0.9863746166229248
mfld loss = 0.765914261341095, ntk loss = 0.9839962720870972
mfld loss = 0.8134490847587585, ntk loss = 0.990990936756134
