mfld loss = 0.6861844658851624, ntk loss = 0.9846593737602234
mfld loss = 0.5833248496055603, ntk loss = 0.9818266034126282
mfld loss = 0.6267681121826172, ntk loss = 0.9829922318458557
mfld loss = 0.6812129020690918, ntk loss = 0.9854282140731812
mfld loss = 0.5897263288497925, ntk loss = 0.9817115068435669
mfld loss = 0.6200016140937805, ntk loss = 0.9823927283287048
mfld loss = 0.6604002714157104, ntk loss = 0.9838731288909912
mfld loss = 0.6544949412345886, ntk loss = 0.9846731424331665
mfld loss = 0.6499296426773071, ntk loss = 0.9845112562179565
mfld loss = 0.6855725049972534, ntk loss = 0.9860942363739014
mfld loss = 0.6947701573371887, ntk loss = 0.9859399199485779
mfld loss = 0.6803344488143921, ntk loss = 0.9862669110298157
mfld loss = 0.523952841758728, ntk loss = 0.9772240519523621
mfld loss = 0.6162002682685852, ntk loss = 0.9833818674087524
mfld loss = 0.6925270557403564, ntk loss = 0.9868718981742859
mfld loss = 0.5749401450157166, ntk loss = 0.9816206097602844
mfld loss = 0.6358169913291931, ntk loss = 0.9844428896903992
mfld loss = 0.701711893081665, ntk loss = 0.9866552352905273
mfld loss = 0.6075747013092041, ntk loss = 0.9827608466148376
mfld loss = 0.5776342749595642, ntk loss = 0.9823592901229858
mfld loss = 0.6546469926834106, ntk loss = 0.9819669723510742
mfld loss = 0.6115474700927734, ntk loss = 0.9832055568695068
mfld loss = 0.6337836384773254, ntk loss = 0.9822272062301636
mfld loss = 0.6516014933586121, ntk loss = 0.9825748205184937
mfld loss = 0.6473466157913208, ntk loss = 0.9840524792671204
mfld loss = 0.47877055406570435, ntk loss = 0.9768379926681519
mfld loss = 0.6029245853424072, ntk loss = 0.9819869995117188
mfld loss = 0.7335214018821716, ntk loss = 0.9863836169242859
mfld loss = 0.5114780068397522, ntk loss = 0.9788174033164978
mfld loss = 0.6976104378700256, ntk loss = 0.9868091940879822
mfld loss = 0.5818374156951904, ntk loss = 0.980107843875885
mfld loss = 0.6339577436447144, ntk loss = 0.9831206798553467
mfld loss = 0.5591657757759094, ntk loss = 0.9818809032440186
mfld loss = 0.6065138578414917, ntk loss = 0.9816765189170837
mfld loss = 0.6191061735153198, ntk loss = 0.9838034510612488
